"問題文","選択肢1","選択肢2","選択肢3","選択肢4","選択肢5","正解","科目分類"
"上顎全部床義歯の完成時のリマウントに用いるのはどれか。 2つ選べ。[103C53-ori]","Tench のコア","チェックバイト法","スプリットキャスト法","オルタードキャスト法","ゴシックアーチ描記法","13","全部床義歯学"
"唾液腺に腫脹を呈する疾患はどれか。 2つ選べ。[103C54-ori]","Down 症候群","Marfan 症候群","Sjögren症候群","Mikulicz 症候群","Peutz - Jeghers 症候群","34","口腔外科学"
"SPT 〈supportive periodontal therapy〉におけるリコール間隔の決定で重要なのはどれか。 2つ選べ。[103C55-ori]","年齢","性別","残存歯数","口腔清掃状態","プロービング時の出血","45","歯周病学"
"レジン添加型グラスアイオノマーセメントに用いられるのはどれか。1つ選べ。 [103C56-ori]","MDP","HEMA","4-AET","MAC-10","4-META","b","歯科理工学"
"頸部リンパ節の画像検査法で医薬品を用いずに適用できるのはどれか。2つ選べ。[103C57-ori]","PET","MRI","超音波検査","経静脈造影 CT","腫瘍シンチグラフィ","23","歯科放射線学"
"無歯顎者に対する個人トレーを用いた最終印象時に行うのはどれか。 2つ選べ。 [103C58-ori]","粘膜調整","粘膜の触診","印象法の選択","把柄の位置の点検","筋の付着部位の確認","45","全部床義歯学"
"無歯顎の下顎骨体部骨折の治療法はどれか。 すべて選べ。 [103C59-ori]","囲繞結紮","線副子固定","床副子固定","オトガイ帽装着","金属プレート固定","1345","口腔外科学"
"唇顎口蓋裂患者で顎裂部の形態の把握に有用なのはどれか。 2つ選べ。[103C60-ori]","CT","咬翼法","咬合法","Waters 法","セファログラム","13","歯科放射線学"
"1週前に発症した病変の写真を示す。発症に関連すると考えられる既往症はどれか。1つ選べ。[103C61-ori]","高血圧","脳梗塞","上顎洞炎","慢性腎不全","ウイルス性肝炎","c","口腔外科学"
"無歯顎様顔貌の特徴はどれか。 2つ選べ。 [103C62-ori]","薄い赤唇","浅い鼻唇溝","口角の下垂","明瞭な人中","明瞭なオトガイ唇溝","13","解剖学"
"シャーピー線維が認められるのはどれか。 すべて選べ。[103C63-ori]","歯根膜","固有歯槽骨","支持歯槽骨","無細胞性線維性セメント質","細胞性固有線維性セメント質","24","組織学"
"高齢者の歯で特徴的なのはどれか。 2つ選べ。 [103C64-ori]","内部吸収","髄室の狭窄","歯髄の息肉","歯髄の石灰化","歯根の外部吸収","24","歯内療法学"
"WHO がん疼痛治療法で正しいのはどれか。 2つ選べ。 [103C65-ori]","麻薬は第1段階から使用する。","薬物は経口投与を基本とする。","鎮痛補助薬として抗うつ薬を使用する。","痛みが発現したときに鎮痛薬を投与する。","アセトアミノフェンは第3段階から使用する。","23","歯科麻酔学"
"地域保健活動でハイリスクアプローチに比べた集団アプローチの利点はどれか。1つ選べ。[103C66-ori]","実施計画の立案が容易である。","計画実施のための費用が少ない。","地域全体に及ぼす効果が大きい。","リスクの低い住民への介入を省力化できる。","個々の診療所の医療体系に取り入れやすい。","c","公衆衛生学"
"メラニンを産生する細胞がみられるのはどれか。1つ選べ。 [103C67-ori]","単層立方上皮","単層円柱上皮","重層扁平上皮","重層円柱上皮","多列線毛上皮","c","組織学"
"口内法エックス線撮影の使用フイルムと撮影条件とを表に示す。F グループのフイルム感度はDグループの4倍である。黒化度が同じになるときの①はどれか。1つ選べ。 [103C68-ori]","0.25 秒","0.50 秒","1.00 秒","2.00 秒","4.00 秒","c","歯科放射線学"
"パノラマエックス線写真(A)の矢印が示す解剖構造に相当するのはCT(B)のどれか。1つ選べ。[103C69-ori]","ア","イ","ウ","エ","オ","c","歯科放射線学"
"抜髄の適応症はどれか。 すべて選べ。 [103C70-ori]","内部吸収","上行性歯髄炎","慢性潰瘍性歯髄炎","急性全部性単純性歯髄炎","急性全部性化膿性歯髄炎","12345","歯内療法学"
"残留モノマーが最も多いのはどれか。1つ選べ。[103C71-ori]","ポリスルフォン","ポリカーボネート","ポリエーテルスルフォン","加熱重合型アクリルレジン","常温重合型アクリルレジン","e","歯科理工学"
"水の接触角が最も小さくなるのはどれか。1つ選べ。 [103C72-ori]","陶材","PMMA","ワックス","シリコーンゴム印象材","ポリエーテルゴム印象材","a","歯科理工学"
"仰臥位から坐位にしたときに増加するのはどれか。 すべて選べ。 [103C73-ori]","気道抵抗","排痰機能","1回換気量","呼吸仕事量","末梢血酸素飽和度","削除問題","解剖学"
"ニッケルチタン合金が根管用ファイルに使用される最大の理由はどれか。1つ選べ。[103C74-ori]","耐蝕性","超弾性","形状記憶性","振動吸収性","生体親和性","b","歯科理工学"
"妊婦に投与可能な抗菌薬はどれか。1つ選べ。 [103C75-ori]","アンピシリン水和物","カナマイシン硫酸塩","ミノサイクリン塩酸塩","クロラムフェニコール","レボフロキサシン水和物","a","薬理学"
"象牙細管液の流量が上昇するのはどれか。1つ選べ。 [103C76-ori]","歯髄の変性","スミヤー層の存在","透明象牙質の形成","第三象牙質の形成","象牙細管内径の拡大","e","歯内療法学"
"異常形態の口腔内写真(A)とエックス線写真(B)とを示す。 経過観察を行っている。定期健診時に留意すべきなのはどれか。 2つ選べ。 [103C77-ori]","破折","咬耗","咬合異常","外傷性咬合","根の形成異常","12","小児歯科学"
"ワルファリンカリウム服用患者の抜歯で必要な検査項目はどれか。1つ選べ。 [103C78-ori]","PT-INR","出血時間","血小板数","血清 FDP","血漿フィブリノゲン","a","口腔外科学"
"学校歯科保健の歯科健康診断で CO と判定するのはどれか。 すべて選べ。 [103C79-ori]","歯頸部の知覚過敏","裂溝部エナメル質の実質欠損","小窩深部に到達する暗褐色の着色","歯頸部平滑面エナメル質の脱灰を疑わせる白濁","隣接面エナメル質に透過性に認められる暗黒色の変色","345","口腔衛生学"
"擦過創の治癒過程でみられるのはどれか。1つ選べ。 [103C80-ori]","真皮層の再生","リンパ球の浸潤","毛細血管の新生","線維芽細胞の増殖","扁平上皮細胞の増殖","e","病理学"
"フッ化物歯面塗布がフッ化物洗口よりも優れているのはどれか。 2つ選べ。 [103C81-ori]","安全管理","集団応用性","費用便益性","自律的応用性","低年齢児への適用性","15","口腔衛生学"
"神経堤に由来するのはどれか。 2つ選べ。 [103C82-ori]","シュワン細胞","運動神経細胞","口腔粘膜上皮細胞","メラニン産生細胞","ランゲルハンス細胞","14","組織学"
"我が国の医療保険制度で正しいのはどれか。1つ選べ。 [103C83-ori]","被保険者は保険料を納入する。","財源はすべて保険料で賄われる。","日本国籍のない者は加入できない。","保険料は所得にかかわらず一定である。","被用者保険は国民健康保険法を根拠としている。","a","公衆衛生学"
"口内炎の患者にビタミンB製剤を服用させた。 この療法はどれか。1つ選べ。[103C84-ori]","原因療法","対症療法","補充療法","予防療法","再生療法","c","薬理学"
"化膿性炎はどれか。 すべて選べ。 [103C85-ori]","壊疽","膿瘍","肉芽腫","蓄膿症","蜂窩織炎","245","病理学"
"我が国の国家試験の受験資格として法律で6年間の修業が規定されているのはどれか。 すべて選べ。[103C86-ori]","医師","薬剤師","保健師","獣医師","歯科医師","1245","公衆衛生学"
"乳歯外傷の特徴はどれか。1つ選べ。 [103C87-ori]","下顎前歯に多い。","乳歯萌出期に多い。","脱臼よりも破折が多い。","歯髄電気診の信頼性が高い。","原因の50%以上が衝突である。","b","小児歯科学"
"介護保険制度で歯科医師が関与するのはどれか。 2つ選べ。 [103C88-ori]","歯石の除去","義歯の調整","居宅療養管理指導","要介護認定の一次判定","要介護認定の二次判定","35","公衆衛生学"
"無作為抽出した標本に同一の食品を摂取させ、アンケートに回答してもらった結果を表に示す。この結果から食品の好き嫌いが性別によって影響されているか否かを分析する方法はどれか。1つ選べ。[103C89-ori]","t定検","U検定","x²検定","相関分析","分散分析","c","疫学"
"プラークコントロールが症状の改善に有効でないのはどれか。1つ選べ。 [103C90-ori2]","妊娠関連歯肉炎","糖尿病関連歯肉炎","萌出期関連歯肉炎","アレルギー性歯肉病変","薬物性歯肉増殖症","d","歯周病学"
"インレー窩洞にレジンコーティングを行う目的はどれか。 2つ選べ。 [103C91-ori]","歯髄の鎮静","象牙質と歯髄の保護","遊離エナメル質の破折防止","アンダーカット部の埋め立て","レジンセメントの接着性の向上","25","保存修復学"
"第一大臼歯の萌出経路を図に示す。頻度が高いのはどれか。1つ選べ。 [103C92-ori]","ア","イ","ウ","エ","オ","b","小児歯科学"
"パノラマエックス線撮影装置でスリットを細くしたときに減少するのはどれか。2つ選べ。[103C93-ori]","断層幅","散乱線","障害陰影","被曝線量","コントラスト","24","歯科放射線学"
